No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,date_time
1,2013,3,1,0,3.0,6.0,3.0,8.0,300.0,44.0,-0.9,1025.8,-20.5,0.0,NW,9.3,2013-03-01 00:00:00
2,2013,3,1,1,12.0,12.0,3.0,7.0,300.0,47.0,-1.1,1026.1,-21.3,0.0,NW,9.4,2013-03-01 01:00:00
3,2013,3,1,2,14.0,14.0,3.0,7.0,200.0,22.0,-1.7,1026.2,-23.0,0.0,NW,8.6,2013-03-01 02:00:00
4,2013,3,1,3,12.0,12.0,3.0,5.0,200.0,22.0,-2.1,1027.3,-23.3,0.0,NW,6.6,2013-03-01 03:00:00
5,2013,3,1,4,12.0,12.0,3.0,5.0,200.0,11.0,-2.4,1027.7,-22.9,0.0,NW,4.5,2013-03-01 04:00:00
6,2013,3,1,5,11.0,11.0,3.0,7.0,200.0,45.0,-2.8,1028.2,-22.1,0.0,NNW,1.7,2013-03-01 05:00:00
7,2013,3,1,6,12.0,12.0,3.0,9.0,300.0,74.0,-4.0,1029.0,-21.2,0.0,NNE,1.6,2013-03-01 06:00:00
8,2013,3,1,7,13.0,13.0,3.0,23.0,300.0,59.0,-2.4,1030.5,-21.3,0.0,NE,1.7,2013-03-01 07:00:00
9,2013,3,1,8,8.0,8.0,3.0,19.0,400.0,66.0,-1.0,1031.2,-21.8,0.0,NNW,2.7,2013-03-01 08:00:00
10,2013,3,1,9,3.0,6.0,3.0,21.0,400.0,60.0,0.0,1031.3,-22.9,0.0,SSW,0.8,2013-03-01 09:00:00
11,2013,3,1,10,3.0,6.0,3.0,22.0,400.0,64.0,0.7,1031.3,-21.6,0.0,NNW,2.5,2013-03-01 10:00:00
12,2013,3,1,11,6.0,6.0,3.0,16.0,300.0,67.0,1.7,1030.9,-21.5,0.0,NNW,1.4,2013-03-01 11:00:00
13,2013,3,1,12,8.0,8.0,3.0,12.0,300.0,64.0,2.8,1030.1,-20.6,0.0,NE,2.1,2013-03-01 12:00:00
14,2013,3,1,13,5.0,5.0,3.0,9.0,300.0,74.0,3.7,1028.9,-20.6,0.0,NE,2.1,2013-03-01 13:00:00
15,2013,3,1,14,5.0,5.0,3.0,10.0,400.0,73.0,4.6,1028.6,-20.7,0.0,ENE,3.4,2013-03-01 14:00:00
16,2013,3,1,15,8.0,8.0,3.0,11.0,400.0,75.0,5.2,1028.5,-20.2,0.0,NE,2.6,2013-03-01 15:00:00
17,2013,3,1,16,7.0,7.0,3.0,12.0,400.0,73.0,4.9,1028.6,-20.4,0.0,NNE,1.0,2013-03-01 16:00:00
18,2013,3,1,17,10.0,10.0,3.0,12.0,400.0,78.0,4.1,1029.0,-19.5,0.0,NNW,2.0,2013-03-01 17:00:00
19,2013,3,1,18,3.0,6.0,3.0,18.0,400.0,76.0,2.3,1030.1,-17.3,0.0,NW,0.6,2013-03-01 18:00:00
20,2013,3,1,19,3.0,8.0,3.0,21.0,400.0,71.0,1.6,1030.9,-19.0,0.0,N,1.9,2013-03-01 19:00:00
21,2013,3,1,20,13.0,13.0,3.0,17.0,500.0,70.0,0.6,1031.9,-18.7,0.0,NE,2.0,2013-03-01 20:00:00
22,2013,3,1,21,9.0,14.0,3.0,14.0,500.0,72.0,0.2,1032.8,-18.5,0.0,ENE,2.5,2013-03-01 21:00:00
23,2013,3,1,22,5.0,11.0,3.0,11.0,400.0,74.0,-0.3,1033.4,-18.5,0.0,ENE,2.2,2013-03-01 22:00:00
24,2013,3,1,23,9.0,11.0,3.0,8.0,400.0,78.0,-0.7,1033.1,-17.9,0.0,NE,2.8,2013-03-01 23:00:00
25,2013,3,2,0,5.0,7.0,3.0,8.0,300.0,78.0,-1.0,1033.0,-18.1,0.0,NE,3.2,2013-03-02 00:00:00
26,2013,3,2,1,3.0,6.0,3.0,8.0,300.0,76.0,-1.5,1033.7,-18.1,0.0,E,1.0,2013-03-02 01:00:00
27,2013,3,2,2,4.0,4.0,3.0,8.0,300.0,77.0,-1.6,1033.3,-18.2,0.0,NE,2.1,2013-03-02 02:00:00
28,2013,3,2,3,8.0,8.0,3.0,8.0,300.0,77.0,-2.0,1033.0,-18.1,0.0,NNE,1.4,2013-03-02 03:00:00
29,2013,3,2,4,6.0,6.0,3.0,8.0,300.0,78.0,-2.5,1033.0,-17.7,0.0,N,1.7,2013-03-02 04:00:00
30,2013,3,2,5,6.0,6.0,9.0,31.0,500.0,52.0,-3.1,1032.6,-17.1,0.0,N,0.7,2013-03-02 05:00:00
31,2013,3,2,6,4.0,6.0,13.0,33.0,700.0,45.0,-2.8,1031.8,-17.2,0.0,NNW,0.9,2013-03-02 06:00:00
32,2013,3,2,7,13.0,6.0,12.0,31.0,700.0,49.0,-2.7,1032.3,-16.4,0.0,N,1.3,2013-03-02 07:00:00
33,2013,3,2,8,12.0,12.0,8.0,31.0,500.0,48.0,-1.5,1032.3,-16.5,0.0,N,1.6,2013-03-02 08:00:00
34,2013,3,2,9,12.0,10.0,20.0,54.0,800.0,25.0,-0.4,1032.2,-16.7,0.0,NW,1.7,2013-03-02 09:00:00
35,2013,3,2,10,26.0,35.0,18.0,39.0,700.0,42.0,0.7,1031.8,-17.1,0.0,SW,0.5,2013-03-02 10:00:00
36,2013,3,2,11,18.0,32.0,15.0,26.0,600.0,56.0,1.6,1031.2,-16.8,0.0,SSW,1.6,2013-03-02 11:00:00
37,2013,3,2,12,19.0,22.0,17.0,45.0,600.0,37.0,2.1,1030.1,-16.9,0.0,SW,1.1,2013-03-02 12:00:00
38,2013,3,2,13,12.0,14.0,15.0,60.0,800.0,34.0,2.8,1028.5,-16.3,0.0,NE,1.0,2013-03-02 13:00:00
39,2013,3,2,14,18.0,23.0,21.0,67.0,1000.0,27.0,3.1,1027.7,-16.6,0.0,N,1.2,2013-03-02 14:00:00
40,2013,3,2,15,32.0,34.0,22.0,66.0,1100.0,30.0,3.2,1026.9,-16.0,0.0,NE,0.5,2013-03-02 15:00:00
41,2013,3,2,16,43.0,47.0,24.0,68.0,1100.0,30.0,3.1,1026.4,-15.6,0.0,N,1.8,2013-03-02 16:00:00
42,2013,3,2,17,49.0,55.0,23.0,61.0,1000.0,37.0,2.2,1026.1,-15.4,0.0,ENE,1.4,2013-03-02 17:00:00
43,2013,3,2,18,38.0,51.0,23.0,61.0,1000.0,34.0,1.7,1026.1,-14.9,0.0,ENE,1.5,2013-03-02 18:00:00
44,2013,3,2,19,52.0,54.0,26.0,76.0,1200.0,18.0,1.1,1025.7,-14.6,0.0,ENE,1.3,2013-03-02 19:00:00
